Mrpl15	62	950	4203
Lypla1	91	784	2507
Tcea1	100	1006	2547
Atp6v1h	159	1557	1811
Rrs1	116	1214	2048
Cops5	315	1320	1698
Arfgef1	176	5717	6978
Prdm14	75	1761	2564
Tram1	188	1313	2938
Lactb2	96	963	4494
Terf1	32	1298	2268
Ube2w	238	694	2181
Eloc	112	451	2014
Tmem70	101	866	1636
Rpl7	284	1097	1163
Smap1	162	1485	2289
Mcm3	104	2543	3031
Sdhaf4	56	371	683
Phf3	29	6107	7567
Ptp4a1	704	1226	4129
Prim2	181	1699	1975
Dst	22221	23279
Ccdc115	334	877	1705
Imp4	74	950	5836
Fam168b	249	834	5030
Plekhb2	80	746	3279
Hs6st1	258	1494	3719
Uggt1	178	4834	9033
Cnnm3	44	2186	5193
Fam178b	418	1990	2286
Cox5b	103	493	865
Actr1b	155	1286	3248
Tmem131	337	5971	6698
Coa5	136	361	3863
Unc50	328	1108	1414
Mitd1	101	851	1231
Mrpl30	215	698	969
Txndc9	227	908	3381
Eif5b	280	3931	7797
Pdcl3	2236	2959	3914
Cnot11	341	1859	3482
Rnf149	131	1316	2492
Map4k4	3705	3918
Mrps9	59	1232	1418
Rpl31	93	471	1049
AI597479	54	753	3458
Nck2	456	1599	2772
Tpp2	82	3871	4649
Tex30	602	1280	1360
Poglut2	309	1818	2359
Bivm	433	1942	3570
Wdr75	356	2849	2953
Slc39a10	587	3089	5498
Nabp1	484	1081	2838
Myo1b	177	3588	4767
Gls	231	2256	4966
Hibch	64	1222	1830
1700019D03Rik	397	718	3641
Pms1	153	2907	3054
Ormdl1	101	563	1910
Osgepl1	219	1464	2283
Asnsd1	445	2329	2442
Gtf3c3	57	2706	4582
Coq10b	105	684	834
Sf3b1	115	4030	6195
Hspd1	248	1970	2423
Mob4	69	747	2840
Hspe1	278	587	774
Tyw5	640	1588	1847
Maip1	445	1321	3540
Sgo2a	344	3839	4939
Clk1	147	1599	1796
Ppil3	667	1153	1363
Bzw1	329	1589	3876
Nif3l1	507	1638	3769
Orc2	397	2128	3561
Ndufb3	289	604	763
Als2	135	5091	6342
Fzd7	536	2255	4532
Sumo1	143	449	1215
Nop58	173	1784	9507
Fam117b	158	1913	5532
Wdr12	361	1633	10012
Cyp20a1	63	1452	2223
Abi2	184	1525	5768
Ndufs1	242	2426	2661
Zdbf2	395	7892	12523
Fastkd2	165	2235	4486
Fzd5	872	2630	6915
Eef1b2	387	1065	1939
Idh1	208	1453	2302
